SMILES1,SMILES2
Cc1ccc(cc1)S(=O)(=O)[N-]C(=O)CN1CCC[NH2+]CCNCCCNCC1,Cc1ccc(cc1)S(N)(=O)=O
COC(=O)C=Cc1ccccn1,NC(N)=S
COC(=O)C=Cc1ccccn1,NC(N)=O
CC(=O)Nc1ccc(O)cc1,CC(=O)Nc1cccc(O)c1
COC(=O)C=Cc1cccnc1,NC(N)=S
COC(=O)C=Cc1cccnc1,NC(N)=O
CC(=O)Oc1ccccc1C(O)=O,CN1C(=C(O)c2ccccc2S1(=O)=O)C(=O)NC1=NC=C(C)S1
BrC1=C(Br)C(=O)C(=C(Br)C1=O)Br,S1C=CSC1=C1SC=CS1
FC(F)(I)C(F)(F)C(F)(F)C(F)(F)I,c1cc(ccn1)c1ccncc1
FC(F)(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,c1cc(ccn1)C=Cc1ccncc1
FC(F)(I)C(F)(F)C(F)(F)C(F)(F)I,c1cc(ccn1)C=Cc1ccncc1
FC(F)(I)C(F)(F)I,c1cc(ccn1)C=Cc1ccncc1
Fc1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F,c1ccc(cc1)c1ccccc1
Fc1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F,c1ccc2c(c1)c1ccccc21
C1CSC2=C(S1)SC(S2)=C1SC2=C(SCCS2)S1,CC1=CC(C(=CC1=C(C#N)C#N)C)=C(C#N)C#N
C1COC2=C(O1)SC(S2)=C1SC2=C(OCCO2)S1,ClC1=CC(C(=CC1=C(C#N)C#N)Cl)=C(C#N)C#N
CN(C)c1ccc(cc1)N=Nc1ccccc1C(O)=O,OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
NC(=O)c1ccncc1,OC(=O)c1cccc(c1)N(=O)=O
NC(=O)c1ccncc1,OC(=O)c1ccc(F)cc1
CN(C)c1cccc(c1)C(O)=O,OC(=O)c1ccc(cc1)N(=O)=O
NC(=O)c1ccc(cc1)N(=O)=O,NC(=O)c1cnccn1
Fc1c(F)c(F)c(C#Cc2c(F)c(F)c(F)c(F)c2F)c(F)c1F,c1ccc(cc1)C#Cc1ccccc1
FC(F)(F)c1cc(Br)c2nc(cnc2c1)c1ccc(Cl)cc1,FC(F)(F)c1cc(Br)c2ncc(nc2c1)c1ccc(Cl)cc1
N(c1cnc(nc1)N=Nc1ncccn1)c1ncccn1,N1C=CN=C1
CC(=O)N1C=C(C)c2ccccc12,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
Fc1c(F)c(F)c(I)c(I)c1F,S=C1NCCN1
FC(F)(F)C1=CNC(=S)C=C1,Fc1c(F)c(F)c(I)c(I)c1F
Fc1c(F)c(F)c(I)c(I)c1F,S=C1NCCS1
Fc1c(F)c(F)c(I)c(I)c1F,S=C(Nc1ccccc1)Nc1ccccc1
CN1CC(=O)N(C)C1=S,Fc1c(F)c(F)c(I)c(I)c1F
CC1(C)C2CCC1(C)C(=S)C2,Fc1c(F)c(F)c(I)c(I)c1F
Fc1c(F)c(I)c(F)c(F)c1I,S=C1NCCN1
Fc1c(F)c(I)c(F)c(F)c1I,S=C1NCCS1
Fc1c(F)c(I)c(F)c(F)c1I,NC(=S)N(c1ccccc1)c1ccccc1
CNC(=S)NC,Fc1c(F)c(I)c(F)c(F)c1I
CN(C)C(=S)N(C)C,Fc1c(F)c(I)c(F)c(F)c1I
CSC1=C(SC)SC(=S)S1,Fc1c(F)c(I)c(F)c(F)c1I
FC(F)(F)C1=CNC(=S)C=C1,Fc1c(F)c(I)c(F)c(F)c1I
CN1C(=S)Sc2ccccc12,Fc1c(F)c(I)c(F)c(F)c1I
OC(=O)c1cc(O)cc(O)c1,c1ccc2nc3ccccc3nc2c1
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,c1cc(ccn1)c1ccncc1
CC12CC(C)(CC(C)(C1)C(=O)Nc1cccc3cccnc13)C(=O)NC2=O,CCN1C=Nc2c(N)ncnc12
CC(C)(C)c1cc2N=C(Nc3cc(Cl)cc4CC5Cc6ccccc6C(O)C5(Oc34)C(=O)Nc3ccccn3)Oc2c(c1)C(C)(C)C,CC(C)CC(NS(=O)(=O)C(F)(F)F)C(O)=O
CC1=Nc2ccccc2N1Cc1ccccc1CN1C(=Nc2ccccc12)C,OC(=O)c1ccc2cc(ccc2c1)C(O)=O
O=C1CN(CC2N1CCc1ccccc21)C(=O)C1CCCCC1,OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
O=C1CN(CC2N1CCc1ccccc21)C(=O)C1CCCCC1,OC(=O)c1ccc(O)cc1
O=C1CN(CC2N1CCc1ccccc21)C(=O)C1CCCCC1,OC(=O)c1ccc(O)cc1O
O=C1CN(CC2N1CCc1ccccc21)C(=O)C1CCCCC1,Oc1ccc(O)cc1
CC1(O)CCC2C3CCC4CC5=C(CC4(C)C3CCC12C)C=NN5,CC1(O)CCC2C3CCC4CC5=NNC=C5CC4(C)C3CCC12C
O=P(c1ccccc1)(c1ccccc1)c1ccccc1OCCOCCOc1ccccc1P(=O)(c1ccccc1)c1ccccc1,OC(C(O)=O)c1ccccc1
CC1=Nc2ccccc2OC(C)(C)C1,Nc1ccccc1O
COC(=O)C1=CC(c2ccccc2)C2(SC(NC2=O)c2ccccc2)C21C(=O)N(C)c1ccccc21,NC(=S)c1ccccc1
CCC(C(=O)[O-])[N+]12CCC(CC1)CC2,OC(=O)c1ccc(O)cc1
C(Cc1ccncc1)c1ccncc1,NC1=NC(=CS1)C1=CSC(=N1)N
NC1=NC(=CS1)C1=CSC(=N1)N,O1C(=NN=C1c1ccncc1)c1ccncc1
CCOc1ccccc1C1C(C(C1C(O)=O)c1ccccc1OCC)C(O)=O,CCOc1ccccc1C=CC(O)=O
Oc1ccc(cc1)N(=O)=O,c1cc(ccn1)c1ccncc1
C(Cc1ccncc1)c1ccncc1,Oc1ccc(cc1)N(=O)=O
Oc1ccc(cc1)N(=O)=O,c1cc(ccn1)C=Cc1ccncc1
Oc1ccc(cc1)N(=O)=O,c1cnc2c(c1)ccc1cccnc21
Oc1ccc(cc1)N(=O)=O,c1ccc2nc3ccccc3nc2c1
Oc1ccc(cc1)N(=O)=O,c1ccc2nc3ccccc3cc2c1
Oc1ccc(cc1)N(=O)=O,c1cnccn1
CN(c1ccc(cc1)C(O)=O)C(=O)N(C)c1ccc(cc1)C(O)=O,c1cc(ccn1)c1ccncc1
OC(=O)CCCC(O)=O,[NH3+]CC(=O)[O-]
CC1=CN(C(=O)C=C1)c1ccccc1,OC(=O)C=CC(O)=O
CC1=CN(C(=O)C=C1)c1ccccc1,OC(=O)c1cc(cc(c1)C(O)=O)C(O)=O
C#Cc1ccc(cc1)C#C,CC(=O)c1cccc(c1)C(C)=O
C#Cc1ccc(cc1)C#C,O=Cc1ccc(C=O)cc1
OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,OC(=O)c1cccnc1
N#Cc1nc2c3ccccc3C(=C(C#N)C#N)c2nc1C#N,c1cc2cccc3c4cccc5cccc(c(c1)c23)c45
OC(=O)COc1ccc(OCC(O)=O)cc1,S(Sc1ccncc1)c1ccncc1
OC(=O)C1CC(C(C1C(O)=O)C(O)=O)C(O)=O,c1ccc(nc1)c1ccccn1
Fc1c(F)c(I)c(F)c(F)c1I,OC(=CC(=O)c1ccccc1)c1ccncc1
Fc1c(I)c(F)c(I)c(F)c1I,OC(=CC(=O)c1ccccc1)c1ccncc1
Fc1c(F)c(F)c(I)c(I)c1F,OC(=CC(=O)c1ccccc1)c1ccncc1
Fc1c(F)c(F)c(I)c(F)c1F,OC(=CC(=O)c1ccccc1)c1ccncc1
OC(=O)c1cncc(c1)C(O)=O,c1cc(ccn1)c1ccncc1
Fc1ccc(cc1)C(=O)Cc1cccc2N=NNc12,Fc1ccc(cc1)C(=O)Cc1cccc2NN=Nc12
O=C1C(CCCC1=Cc1ccncc1)=Cc1ccncc1,Oc1ccc(O)cc1
O=C1C(CCCC1=Cc1ccncc1)=Cc1ccncc1,OC(=O)c1cccc(c1)C(O)=O
COc1cc(C=CC(O)=CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,Oc1cccc(O)c1
COc1cc(C=CC(O)=CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,Oc1cccc(O)c1O
COc1ccc(C=O)cc1,Fc1c(F)c(I)c(F)c(F)c1I
Fc1c(F)c(I)c(F)c(F)c1I,c1cc2ccc3cccc4ccc(c1)c2c34
Fc1c(F)c(I)c(F)c(F)c1I,O=N(=O)c1cccnc1
Fc1c(F)c(I)c(F)c(F)c1I,O=CC=Cc1ccc(cc1)N(=O)=O
Fc1c(F)c(I)c(F)c(F)c1I,O=Cc1ccc(C=O)cc1
Ic1cc(cc(c1)N(=O)=O)N(=O)=O,c1ccc2nc3ccccc3cc2c1
C(Sc1ccncc1)c1cc2ccccc2cc1CSc1ccncc1,CC(=CC=C(C)C(O)=O)C(O)=O
CC(=CC=C(C)C(O)=O)C(O)=O,c1cc2cccc(c3ccncc3)c2c(c1)c1ccncc1
CC(=CC1C(C=C(C)C(O)=O)C(C)(C(O)=O)C1(C)C(O)=O)C(O)=O,c1cc2cccc(c3ccncc3)c2c(c1)c1ccncc1
N#Cc1cc(C#N)c(cc1C#N)C#N,c1ccc(cc1)C#Cc1c2ccccc2cc2ccccc12
Fc1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F,c1ccc(cc1)C#Cc1c2ccccc2cc2ccccc12
OC(=O)CCC(O)=O,c1ccc2c(c1)cnc1ccccc21
OC(=O)C=CC(O)=O,c1ccc2c(c1)cnc1ccccc21
OC(=O)c1cccc(c1)C(O)=O,c1ccc2c(c1)cnc1ccccc21
Fc1cc(F)cc(c1)C#CI,O1C=CC=C1C1=CC=C(S1)c1ccncc1
IC#Cc1cc(cc(c1)N(=O)=O)N(=O)=O,S1C=CC=C1C1=CC=C(S1)c1ccncc1
Fc1c(F)c(F)c(I)c(F)c1F,c1ccc2N3N=NC=C3C=Cc2c1
Fc1c(F)c(I)c(F)c(F)c1I,c1ccc2N3N=NC=C3C=Cc2c1
OC(=O)CCCCC(O)=O,c1ccc2N3N=NC=C3C=Cc2c1
